pmid,target_mention,context_sentence,journal,year
30098822,TGFBR1,A screening campaign identified modulators of TGF-beta receptor type-1.,Blood,2023
30046548,SYK,Tyrosine-protein kinase SYK was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30088727,GPR55,GPR55 expression correlated with treatment response.,J Immunol,2023
30014663,FLT3,FLT3 expression correlated with treatment response.,Diabetes,2024
30027998,NUTF2,Nuclear transport factor 2 was investigated as a therapeutic target.,J Biol Chem,2024
30094926,HSD3B2,A screening campaign identified modulators of 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2.,J Biol Chem,2022
30036780,RGS2,Regulator of G protein signaling 2 was investigated as a therapeutic target.,J Immunol,2021
30077030,MNDA,A screening campaign identified modulators of Myeloid cell nuclear differentiation antigen.,Endocrinology,2021
30042860,CHRNB3,A screening campaign identified modulators of Neuronal acetylcholine receptor subunit beta-3.,Cell,2021
30072304,MLNR,Motilin receptor was investigated as a therapeutic target.,Circulation,2025
30032293,NR1H4,Inhibition of NR1H4 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2024
30040292,IGHV3-48,Immunoglobulin heavy variable 3-48 was investigated as a therapeutic target.,Cancer Res,2023
30091664,IGHG3,Immunoglobulin heavy constant gamma 3 was investigated as a therapeutic target.,Free Radic Biol Med,2025
30095440,CYP2D7,A screening campaign identified modulators of Cytochrome P450 2D7.,Cell,2021
30090180,IGHV1-46,Immunoglobulin heavy variable 1-46 was investigated as a therapeutic target.,Mol Cell,2021
30032464,COPZ1,A screening campaign identified modulators of Coatomer subunit zeta-1.,Circulation,2025
30040514,SLC1A2,A screening campaign identified modulators of Excitatory amino acid transporter 2.,Diabetes,2025
30044978,HNF4A,Hepatocyte nuclear factor 4-alpha was investigated as a therapeutic target.,Cancer Res,2024
30071306,RFC3,A screening campaign identified modulators of Replication factor C subunit 3.,J Biol Chem,2022
30059120,PSMC6,A screening campaign identified modulators of 26S proteasome regulatory subunit 10B.,Cancer Res,2021
30076902,IRAK1,Interleukin-1 receptor-associated kinase 1 was investigated as a therapeutic target.,Blood,2023
30044724,HSD17B4,Peroxisomal multifunctional enzyme type 2 was investigated as a therapeutic target.,Nat Med,2025
30093184,TRBV16,T cell receptor beta variable 16 was investigated as a therapeutic target.,Diabetes,2025
30042978,HDAC4,Histone deacetylase 4 was investigated as a therapeutic target.,Blood,2024
30058209,PSMC6,Inhibition of PSMC6 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2025
30025146,FAM106C,A screening campaign identified modulators of Protein FAM106C.,Mol Cell,2022
30090927,SRPK1,SRPK1 expression correlated with treatment response.,Cell,2023
30063501,POR,Inhibition of POR altered disease-relevant signalling in vitro.,Diabetes,2022
30056442,CLCN4,H(+)/Cl(-) exchange transporter 4 was investigated as a therapeutic target.,Free Radic Biol Med,2023
30040908,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase was investigated as a therapeutic target.,Free Radic Biol Med,2024
30094902,ID1,DNA-binding protein inhibitor ID-1 was investigated as a therapeutic target.,Blood,2023
30011113,YWHAQ,Inhibition of YWHAQ altered disease-relevant signalling in vitro.,Cancer Res,2024
30097292,CA9,Carbonic anhydrase 9 was investigated as a therapeutic target.,Circulation,2023
30022123,EXOSC9,EXOSC9 expression correlated with treatment response.,Nat Med,2024
30053232,UNC119,Protein unc-119 homolog A was investigated as a therapeutic target.,Diabetes,2023
30076002,NR3C1,Glucocorticoid receptor was investigated as a therapeutic target.,Cancer Res,2023
30077833,EPB42,Inhibition of EPB42 altered disease-relevant signalling in vitro.,Diabetes,2024
30041812,SCGN,A screening campaign identified modulators of Secretagogin.,Cancer Res,2023
30033732,HTR1B,A screening campaign identified modulators of 5-hydroxytryptamine receptor 1B.,Diabetes,2023
30035684,CASK,Peripheral plasma membrane protein CASK was investigated as a therapeutic target.,J Biol Chem,2025
30067416,PSA,Free-to-total ratio of the circulating antigen improved specificity for malignant versus benign hyperplasia.,Free Radic Biol Med,2022
30033402,IGKV1-39,Immunoglobulin kappa variable 1-39 was investigated as a therapeutic target.,J Biol Chem,2023
30046653,SIRT3,Inhibition of SIRT3 altered disease-relevant signalling in vitro.,Mol Cell,2024
30095030,IGKV6D-21,A screening campaign identified modulators of Immunoglobulin kappa variable 6D-21.,Endocrinology,2021
30087914,USP46,A screening campaign identified modulators of Ubiquitin carboxyl-terminal hydrolase 46.,Diabetes,2025
30086567,SIPA1L3,SIPA1L3 expression correlated with treatment response.,Circulation,2023
30099216,FFAR3,A screening campaign identified modulators of Free fatty acid receptor 3.,J Biol Chem,2022
30098305,FFAR3,Inhibition of FFAR3 altered disease-relevant signalling in vitro.,Circulation,2021
30064831,NTSR2,NTSR2 expression correlated with treatment response.,Diabetes,2022
30086111,GPC3,GPC3 expression correlated with treatment response.,J Biol Chem,2022
30035249,ARHGAP10,Inhibition of ARHGAP10 altered disease-relevant signalling in vitro.,Blood,2025
30038080,NQO1,NAD(P)H dehydrogenase [quinone] 1 was investigated as a therapeutic target.,Circulation,2021
30062958,UQCRHL,"Cytochrome b-c1 complex subunit 6-like, mitochondrial was investigated as a therapeutic target.",Blood,2024
30093267,CTRL,CTRL expression correlated with treatment response.,Nat Med,2023
30097372,FAH,Fumarylacetoacetase was investigated as a therapeutic target.,Mol Cell,2023
30025112,SCTR,Secretin receptor was investigated as a therapeutic target.,Circulation,2023
30031006,RPL13,A screening campaign identified modulators of Large ribosomal subunit protein eL13.,Mol Cell,2022
30042067,HDAC4,HDAC4 expression correlated with treatment response.,J Biol Chem,2023
30045274,NCALD,Neurocalcin-delta was investigated as a therapeutic target.,Circulation,2025
30062184,DPEP1,A screening campaign identified modulators of Dipeptidase 1.,Mol Cell,2025
30018104,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 was investigated as a therapeutic target.",Cell,2025
30016334,IKZF1,A screening campaign identified modulators of Isoform Ik3 of DNA-binding protein Ikaros.,Mol Cell,2025
30050324,AKAP3,A-kinase anchor protein 3 was investigated as a therapeutic target.,Diabetes,2025
30099504,U2AF2,Splicing factor U2AF 65 kDa subunit was investigated as a therapeutic target.,Diabetes,2025
30057509,GIPC1,Inhibition of GIPC1 altered disease-relevant signalling in vitro.,Diabetes,2025
30025494,ZFAND5,AN1-type zinc finger protein 5 was investigated as a therapeutic target.,Cell,2025
30035156,PDE5A,"A screening campaign identified modulators of cGMP-specific 3',5'-cyclic phosphodiesterase.",Mol Cell,2022
30091170,DDR1,A screening campaign identified modulators of Epithelial discoidin domain-containing receptor 1.,Nat Med,2021
30050460,DUX4L5,A screening campaign identified modulators of Double homeobox protein 4-like protein 5.,Cell,2021
30063550,ALDH3A2,A screening campaign identified modulators of Aldehyde dehydrogenase family 3 member A2.,J Immunol,2021
30018180,GPM6A,A screening campaign identified modulators of Neuronal membrane glycoprotein M6-a.,J Biol Chem,2021
30025264,AP1S1,A screening campaign identified modulators of AP-1 complex subunit sigma-1A.,Cell,2025
30071524,RNASEL,A screening campaign identified modulators of 2-5A-dependent ribonuclease.,J Biol Chem,2025
30045741,UBC,Inhibition of UBC altered disease-relevant signalling in vitro.,J Biol Chem,2022
30016604,PSMD7,A screening campaign identified modulators of 26S proteasome non-ATPase regulatory subunit 7.,Endocrinology,2025
30065130,CTSL,A screening campaign identified modulators of Procathepsin L.,J Biol Chem,2021
30046674,CA12,Carbonic anhydrase 12 was investigated as a therapeutic target.,Nat Med,2025
30091092,CTSK,Cathepsin K was investigated as a therapeutic target.,Endocrinology,2023
30044363,NCALD,NCALD expression correlated with treatment response.,Blood,2024
30075445,TBC1D3K,Inhibition of TBC1D3K altered disease-relevant signalling in vitro.,Circulation,2021
30090073,URB1,Inhibition of URB1 altered disease-relevant signalling in vitro.,Cancer Res,2024
30069398,SP9,Transcription factor Sp9 was investigated as a therapeutic target.,Blood,2024
30036834,TRGV1,A screening campaign identified modulators of Probable non-functional T cell receptor gamma variable.,Cancer Res,2025
30030791,GHSR,GHSR expression correlated with treatment response.,Nat Rev Drug Discov,2022
30054700,USP7,Ubiquitin C-terminal hydrolase 7 was investigated as a therapeutic target.,Nat Rev Drug Discov,2021
30024432,IGHG1,Immunoglobulin heavy constant gamma 1 was investigated as a therapeutic target.,Mol Cell,2023
30048265,H1-3,Inhibition of H1-3 altered disease-relevant signalling in vitro.,Endocrinology,2021
30036950,VBP1,A screening campaign identified modulators of Prefoldin subunit 3.,Endocrinology,2021
30021878,TRAV9-1,T cell receptor alpha variable 9-1 was investigated as a therapeutic target.,J Immunol,2024
30017269,GPM6A,Inhibition of GPM6A altered disease-relevant signalling in vitro.,Cancer Res,2025
30061036,SOBP,A screening campaign identified modulators of Sine oculis-binding protein homolog.,Nat Rev Drug Discov,2022
30036496,ETV5,A screening campaign identified modulators of ETS translocation variant 5.,Cancer Res,2022
